sample_id,user_id,song_path,song_key,ground_truth_filename,response_index,intended_emotion,time_spent_seconds,song_amusement,true_amusement,song_anger,true_anger,song_sadness,true_sadness,song_contentment,true_contentment,song_disgust,true_disgust,song_awe,true_awe,song_fear,true_fear,song_excitement,true_excitement
user_121546__sadness_03457_mp3__r001,user_121546,songs/sadness/sadness_03457.mp3,sadness_03457.mp3,sadness\sadness_03457.mp3,1,sadness,93,0.6587,0.04,0.8942,0.46,1.0,0.62,0.0,0.06,0.3317,0.45,0.9663,0.45,0.851,0.16,0.5577,0.16
user_149689__amusement_17647_mp3__r000,user_149689,songs/amusement/amusement_17647.mp3,amusement_17647.mp3,amusement\amusement_17647.mp3,0,amusement,74,1.0,0.51,0.5949,0.41,0.3354,0.49,0.0,0.38,0.2532,0.58,0.6329,0.51,0.6709,0.57,0.7911,0.38
user_230868__amusement_08269_mp3__r012,user_230868,songs/amusement/amusement_08269.mp3,amusement_08269.mp3,amusement\amusement_08269.mp3,12,amusement,47,1.0,0.76,0.0,0.0,0.0603,0.0,0.1724,0.94,0.1897,0.0,0.3362,0.67,0.0862,0.0,0.9483,0.69
user_230868__amusement_19692_mp3__r004,user_230868,songs/amusement/amusement_19692.mp3,amusement_19692.mp3,amusement\amusement_19692.mp3,4,amusement,48,1.0,0.0,0.4969,0.75,0.1288,0.91,0.319,0.2,0.0,0.8,0.9755,0.22,0.6748,0.71,0.5828,0.43
user_230868__anger_01988_mp3__r015,user_230868,songs/anger/anger_01988.mp3,anger_01988.mp3,anger\anger_01988.mp3,15,anger,52,0.8025,0.81,1.0,0.0,0.5123,0.0,0.0,0.0,0.3457,0.0,0.5556,0.0,0.3889,0.24,0.9259,0.6
user_230868__anger_08256_mp3__r009,user_230868,songs/anger/anger_08256.mp3,anger_08256.mp3,anger\anger_08256.mp3,9,anger,41,0.4257,0.0,1.0,0.52,0.6892,0.0,0.0811,0.87,0.1892,0.79,0.5068,0.52,0.0,0.8,0.5743,0.0
user_230868__awe_14548_mp3__r003,user_230868,songs/awe/awe_14548.mp3,awe_14548.mp3,awe\awe_14548.mp3,3,awe,81,0.3024,0.4,0.161,0.0,0.0293,0.0,0.3707,0.33,0.0,0.39,1.0,0.0,0.2732,0.0,0.439,0.36
user_230868__contentment_09968_mp3__r006,user_230868,songs/contentment/contentment_09968.mp3,contentment_09968.mp3,contentment\contentment_09968.mp3,6,contentment,56,0.4415,0.74,0.0,0.16,0.4415,0.46,1.0,0.66,0.0957,0.58,0.8883,0.61,0.1596,0.28,0.2287,0.0
user_230868__contentment_09985_mp3__r008,user_230868,songs/contentment/contentment_09985.mp3,contentment_09985.mp3,contentment\contentment_09985.mp3,8,contentment,58,0.55,0.84,0.1292,0.0,0.2042,0.0,1.0,0.54,0.3875,0.09,0.225,0.51,0.0,0.0,0.3,1.0
user_230868__disgust_00509_mp3__r005,user_230868,songs/disgust/disgust_00509.mp3,disgust_00509.mp3,disgust\disgust_00509.mp3,5,disgust,52,0.2479,0.0,0.7949,0.0,0.2479,0.41,0.3932,0.39,1.0,0.23,0.9402,0.68,0.4188,0.26,0.0,0.0
user_230868__disgust_06466_mp3__r014,user_230868,songs/disgust/disgust_06466.mp3,disgust_06466.mp3,disgust\disgust_06466.mp3,14,disgust,48,0.0,0.0,0.8198,1.0,0.4775,1.0,0.4144,0.37,1.0,0.89,0.018,0.43,0.0541,1.0,0.3604,0.49
user_230868__excitement_16004_mp3__r001,user_230868,songs/excitement/excitement_16004.mp3,excitement_16004.mp3,excitement\excitement_16004.mp3,1,excitement,61,0.5376,0.29,0.1452,0.0,0.1129,0.0,0.8602,0.0,0.0,0.0,0.3495,0.0,0.1398,0.0,1.0,0.66
user_230868__fear_09170_mp3__r007,user_230868,songs/fear/fear_09170.mp3,fear_09170.mp3,fear\fear_09170.mp3,7,fear,47,0.8523,0.54,0.3221,0.0,0.4631,0.0,0.7785,0.45,0.349,0.0,0.0,0.38,1.0,0.0,0.557,0.84
user_230868__fear_09173_mp3__r010,user_230868,songs/fear/fear_09173.mp3,fear_09173.mp3,fear\fear_09173.mp3,10,fear,45,0.2439,0.0,0.3415,0.74,0.5447,0.97,0.2439,0.31,0.0,0.47,0.3984,0.37,1.0,0.85,0.4065,0.83
user_230868__sadness_06469_mp3__r002,user_230868,songs/sadness/sadness_06469.mp3,sadness_06469.mp3,sadness\sadness_06469.mp3,2,sadness,108,0.7656,0.48,0.4141,0.0,1.0,0.0,0.5156,0.89,0.3047,0.0,0.6719,0.0,0.0859,0.0,0.0,0.6
user_230868__sadness_07972_mp3__r011,user_230868,songs/sadness/sadness_07972.mp3,sadness_07972.mp3,sadness\sadness_07972.mp3,11,sadness,42,0.62,0.18,0.44,0.65,1.0,0.68,0.0,0.39,0.15,0.86,0.18,0.29,0.13,0.76,0.12,0.83
user_262493__amusement_08284_mp3__r001,user_262493,songs/amusement/amusement_08284.mp3,amusement_08284.mp3,amusement\amusement_08284.mp3,1,amusement,72,1.0,0.23,0.1953,0.0,0.0355,0.0,0.4556,0.23,0.3018,0.0,0.0,0.0,0.7574,0.0,0.7456,0.11
user_262493__amusement_08336_mp3__r002,user_262493,songs/amusement/amusement_08336.mp3,amusement_08336.mp3,amusement\amusement_08336.mp3,2,amusement,27,1.0,0.49,0.3284,0.48,0.5299,0.0,0.0,0.23,0.791,0.18,0.1716,0.28,0.6493,0.0,0.0746,0.59
user_262493__anger_04341_mp3__r010,user_262493,songs/anger/anger_04341.mp3,anger_04341.mp3,anger\anger_04341.mp3,10,anger,28,0.7621,0.71,1.0,0.03,0.8589,0.03,0.0,0.02,0.6492,0.01,0.7298,0.22,0.625,0.01,0.5282,0.57
user_262493__anger_04353_mp3__r011,user_262493,songs/anger/anger_04353.mp3,anger_04353.mp3,anger\anger_04353.mp3,11,anger,34,0.4833,0.99,1.0,0.58,0.5,0.01,0.3,0.47,0.0,0.02,0.15,0.72,0.2583,0.01,0.9833,0.97
user_262493__awe_09115_mp3__r003,user_262493,songs/awe/awe_09115.mp3,awe_09115.mp3,awe\awe_09115.mp3,3,awe,34,0.476,0.56,0.149,0.41,0.0,0.0,0.625,0.42,0.25,0.0,1.0,0.58,0.3221,0.0,0.4135,0.56
user_262493__awe_09167_mp3__r009,user_262493,songs/awe/awe_09167.mp3,awe_09167.mp3,awe\awe_09167.mp3,9,awe,25,0.6078,0.49,0.3595,0.25,0.0,0.0,0.634,0.48,0.4052,0.02,1.0,0.73,0.549,0.01,0.5752,0.73
user_262493__contentment_10110_mp3__r000,user_262493,songs/contentment/contentment_10110.mp3,contentment_10110.mp3,contentment\contentment_10110.mp3,0,contentment,66,0.7361,0.67,0.0,0.21,0.4792,0.0,1.0,0.48,0.3472,0.0,0.4236,0.49,0.5764,0.0,0.1944,0.73
user_262493__disgust_00534_mp3__r004,user_262493,songs/disgust/disgust_00534.mp3,disgust_00534.mp3,disgust\disgust_00534.mp3,4,disgust,34,0.3419,0.53,0.7949,0.39,0.3419,0.0,0.188,0.28,1.0,0.0,0.0,0.39,0.812,0.61,0.5385,0.44
user_262493__disgust_10797_mp3__r012,user_262493,songs/disgust/disgust_10797.mp3,disgust_10797.mp3,disgust\disgust_10797.mp3,12,disgust,29,0.5838,0.49,0.8092,0.22,0.896,0.01,0.6069,0.48,1.0,0.0,0.4451,0.74,0.0,0.03,0.3179,0.73
user_262493__excitement_08023_mp3__r008,user_262493,songs/excitement/excitement_08023.mp3,excitement_08023.mp3,excitement\excitement_08023.mp3,8,excitement,26,0.6948,0.51,0.2691,0.47,0.0683,0.01,0.4578,0.48,0.0,0.02,0.6305,0.73,0.5823,0.0,1.0,0.25
user_262493__excitement_08027_mp3__r014,user_262493,songs/excitement/excitement_08027.mp3,excitement_08027.mp3,excitement\excitement_08027.mp3,14,excitement,22,0.4783,0.7,0.2319,0.01,0.0,0.01,0.7585,0.73,0.2464,0.02,0.401,0.71,0.4493,0.02,1.0,0.51
user_262493__fear_09148_mp3__r015,user_262493,songs/fear/fear_09148.mp3,fear_09148.mp3,fear\fear_09148.mp3,15,fear,22,0.9808,0.72,0.3558,0.01,0.1538,0.01,0.8462,0.49,0.5385,0.01,0.0,0.5,1.0,0.01,0.625,0.48
user_262493__sadness_03454_mp3__r013,user_262493,songs/sadness/sadness_03454.mp3,sadness_03454.mp3,sadness\sadness_03454.mp3,13,sadness,26,0.6705,0.72,0.3237,0.02,1.0,0.01,0.5954,0.49,0.5838,0.02,0.0,0.7,0.4913,0.01,0.5145,0.57
user_262493__sadness_07964_mp3__r006,user_262493,songs/sadness/sadness_07964.mp3,sadness_07964.mp3,sadness\sadness_07964.mp3,6,sadness,33,0.1737,0.23,0.3552,0.01,1.0,0.01,0.3552,0.01,0.2471,0.01,0.305,0.01,0.2934,0.01,0.0,0.24
user_265646__amusement_08275_mp3__r006,user_265646,songs/amusement/amusement_08275.mp3,amusement_08275.mp3,amusement\amusement_08275.mp3,6,amusement,32,1.0,0.06,0.5821,0.02,0.0,0.12,0.2761,0.03,0.1119,0.15,0.7985,0.02,0.4179,0.08,0.7985,0.04
user_265646__anger_08261_mp3__r000,user_265646,songs/anger/anger_08261.mp3,anger_08261.mp3,anger\anger_08261.mp3,0,anger,89,0.7543,0.0,1.0,0.73,0.3891,1.0,0.0,0.0,0.7679,0.12,0.2901,0.69,0.6655,1.0,0.0922,0.0
user_265646__awe_09147_mp3__r002,user_265646,songs/awe/awe_09147.mp3,awe_09147.mp3,awe\awe_09147.mp3,2,awe,48,0.2614,0.0,0.1477,0.08,0.1875,0.32,0.5909,0.09,0.2159,0.0,1.0,0.14,0.0,0.11,0.2727,0.07
user_265646__contentment_10021_mp3__r005,user_265646,songs/contentment/contentment_10021.mp3,contentment_10021.mp3,contentment\contentment_10021.mp3,5,contentment,58,0.25,0.11,0.0,0.12,0.0466,0.07,1.0,0.0,0.2246,0.03,0.0212,0.0,0.0042,0.18,0.1695,0.08
user_265646__disgust_07618_mp3__r004,user_265646,songs/disgust/disgust_07618.mp3,disgust_07618.mp3,disgust\disgust_07618.mp3,4,disgust,33,0.0,0.06,0.7111,1.0,0.3259,0.16,0.6074,0.18,1.0,1.0,0.0074,0.09,0.1111,0.18,0.1852,0.06
user_265646__disgust_07687_mp3__r003,user_265646,songs/disgust/disgust_07687.mp3,disgust_07687.mp3,disgust\disgust_07687.mp3,3,disgust,38,0.0,0.06,0.4757,0.1,0.2621,0.2,0.8835,0.17,1.0,0.19,0.3495,0.15,0.3301,0.24,0.3592,0.17
user_275551__amusement_17642_mp3__r009,user_275551,songs/amusement/amusement_17642.mp3,amusement_17642.mp3,amusement\amusement_17642.mp3,9,amusement,27,1.0,0.66,0.604,0.0,0.4631,0.0,0.0,0.0,0.7517,0.0,0.4497,0.72,0.906,0.65,0.4899,1.0
user_275551__anger_10025_mp3__r014,user_275551,songs/anger/anger_10025.mp3,anger_10025.mp3,anger\anger_10025.mp3,14,anger,27,0.373,1.0,1.0,0.0,0.0,0.0,0.7027,0.93,0.5892,0.0,0.9405,0.0,0.5892,0.0,0.7622,1.0
user_275551__anger_10048_mp3__r011,user_275551,songs/anger/anger_10048.mp3,anger_10048.mp3,anger\anger_10048.mp3,11,anger,59,0.474,0.16,1.0,0.0,0.6299,0.0,0.0,0.19,0.5909,0.0,0.8701,0.0,0.1883,0.0,0.7792,0.07
user_275551__awe_09158_mp3__r001,user_275551,songs/awe/awe_09158.mp3,awe_09158.mp3,awe\awe_09158.mp3,1,awe,94,0.4709,0.48,0.4238,0.0,0.349,0.0,0.7036,0.03,0.0,0.0,1.0,0.0,0.1884,0.34,0.518,0.28
user_275551__awe_09168_mp3__r015,user_275551,songs/awe/awe_09168.mp3,awe_09168.mp3,awe\awe_09168.mp3,15,awe,52,0.6842,0.66,0.391,0.0,0.2782,0.0,0.2857,0.56,0.0,0.0,1.0,0.22,0.1429,0.09,0.5639,0.75
user_275551__contentment_09992_mp3__r000,user_275551,songs/contentment/contentment_09992.mp3,contentment_09992.mp3,contentment\contentment_09992.mp3,0,contentment,171,0.6402,1.0,0.2762,0.0,0.3724,0.0,1.0,1.0,0.0,0.0,0.7238,0.0,0.4644,0.0,0.5941,0.44
user_275551__disgust_02554_mp3__r012,user_275551,songs/disgust/disgust_02554.mp3,disgust_02554.mp3,disgust\disgust_02554.mp3,12,disgust,31,0.5481,0.43,0.6741,0.0,0.9333,0.0,0.2741,0.0,1.0,0.09,0.3333,0.0,0.0,0.65,0.1185,0.7
user_275551__excitement_08022_mp3__r002,user_275551,songs/excitement/excitement_08022.mp3,excitement_08022.mp3,excitement\excitement_08022.mp3,2,excitement,51,0.1868,0.22,0.4396,0.0,0.5385,0.0,0.0879,0.0,0.1538,0.0,0.0,0.0,0.1429,0.4,1.0,0.44
user_275551__excitement_15999_mp3__r010,user_275551,songs/excitement/excitement_15999.mp3,excitement_15999.mp3,excitement\excitement_15999.mp3,10,excitement,31,0.7773,0.81,0.5859,0.0,0.418,0.0,0.8008,0.0,0.0,0.0,0.8867,0.0,0.6016,0.0,1.0,0.46
user_275551__fear_09245_mp3__r007,user_275551,songs/fear/fear_09245.mp3,fear_09245.mp3,fear\fear_09245.mp3,7,fear,56,0.7344,1.0,0.4219,0.0,0.0,0.0,0.5391,0.61,0.3047,0.0,0.0391,0.0,1.0,0.0,0.0625,1.0
user_275551__sadness_03392_mp3__r008,user_275551,songs/sadness/sadness_03392.mp3,sadness_03392.mp3,sadness\sadness_03392.mp3,8,sadness,37,0.2818,1.0,0.4033,0.0,1.0,0.0,0.2652,0.0,0.3536,0.0,0.3481,0.59,0.1768,1.0,0.0,1.0
user_275551__sadness_03474_mp3__r005,user_275551,songs/sadness/sadness_03474.mp3,sadness_03474.mp3,sadness\sadness_03474.mp3,5,sadness,63,0.4167,0.0,0.3611,0.0,1.0,0.0,0.1389,0.0,0.0,0.0,0.8056,0.0,0.2014,0.59,0.3194,0.39
user_417724__amusement_17644_mp3__r000,user_417724,songs/amusement/amusement_17644.mp3,amusement_17644.mp3,amusement\amusement_17644.mp3,0,amusement,120,1.0,0.46,0.5502,0.42,0.3974,0.57,0.2489,0.94,0.0,0.63,0.4061,0.42,0.6943,0.78,0.655,0.28
user_440568__amusement_02946_mp3__r000,user_440568,songs/amusement/amusement_02946.mp3,amusement_02946.mp3,amusement\amusement_02946.mp3,0,amusement,309,1.0,0.1,0.2329,0.28,0.3293,0.0,0.6225,0.0,0.2771,0.0,0.0,0.02,0.6747,0.38,0.5382,0.48
user_440568__amusement_08316_mp3__r001,user_440568,songs/amusement/amusement_08316.mp3,amusement_08316.mp3,amusement\amusement_08316.mp3,1,amusement,146,1.0,0.0,0.1797,0.0,0.4531,0.0,0.0,0.0,0.5938,0.0,0.1562,0.48,0.7578,0.49,0.4297,0.0
user_462697__awe_09162_mp3__r000,user_462697,songs/awe/awe_09162.mp3,awe_09162.mp3,awe\awe_09162.mp3,0,awe,88,0.5446,0.38,0.203,0.1,0.1535,0.13,0.7772,0.1,0.0,0.64,1.0,0.64,0.3317,0.84,0.5347,0.81
user_476090__amusement_08270_mp3__r004,user_476090,songs/amusement/amusement_08270.mp3,amusement_08270.mp3,amusement\amusement_08270.mp3,4,amusement,57,1.0,0.65,0.1159,0.24,0.0549,0.0,0.0,0.28,0.0488,0.45,0.1707,0.59,0.4573,0.23,0.5183,0.41
user_476090__anger_04393_mp3__r012,user_476090,songs/anger/anger_04393.mp3,anger_04393.mp3,anger\anger_04393.mp3,12,anger,48,0.5652,0.4,1.0,0.24,0.2446,0.21,0.2446,0.0,0.0,0.21,0.6413,0.45,0.163,0.19,0.7989,0.48
user_476090__awe_09153_mp3__r006,user_476090,songs/awe/awe_09153.mp3,awe_09153.mp3,awe\awe_09153.mp3,6,awe,48,0.4315,0.44,0.2843,0.47,0.1574,0.45,0.5228,0.22,0.0,0.21,1.0,0.12,0.132,0.24,0.4924,0.37
user_476090__awe_15281_mp3__r008,user_476090,songs/awe/awe_15281.mp3,awe_15281.mp3,awe\awe_15281.mp3,8,awe,59,0.3526,0.48,0.3,0.49,0.1158,0.0,0.7895,0.47,0.0,0.15,1.0,0.65,0.1842,0.15,0.3474,0.17
user_476090__contentment_09999_mp3__r014,user_476090,songs/contentment/contentment_09999.mp3,contentment_09999.mp3,contentment\contentment_09999.mp3,14,contentment,44,0.3018,0.38,0.0,0.0,0.1622,0.32,1.0,0.38,0.3063,0.0,0.5631,0.52,0.3018,0.5,0.7027,0.41
user_476090__contentment_10006_mp3__r003,user_476090,songs/contentment/contentment_10006.mp3,contentment_10006.mp3,contentment\contentment_10006.mp3,3,contentment,38,0.381,0.75,0.0,0.06,0.1905,0.09,1.0,0.72,0.2381,0.07,0.7333,0.27,0.581,0.06,0.8476,0.5
user_476090__disgust_03239_mp3__r000,user_476090,songs/disgust/disgust_03239.mp3,disgust_03239.mp3,disgust\disgust_03239.mp3,0,disgust,186,0.1646,0.28,0.6329,0.54,0.6013,0.26,0.4937,0.11,1.0,0.09,0.0,0.79,0.4051,0.72,0.019,0.08
user_476090__disgust_07002_mp3__r007,user_476090,songs/disgust/disgust_07002.mp3,disgust_07002.mp3,disgust\disgust_07002.mp3,7,disgust,81,0.4841,0.17,0.4395,0.19,0.4968,0.59,0.1911,0.24,1.0,0.43,0.0,0.45,0.3439,0.48,0.4268,0.14
user_476090__excitement_15994_mp3__r010,user_476090,songs/excitement/excitement_15994.mp3,excitement_15994.mp3,excitement\excitement_15994.mp3,10,excitement,47,0.7175,0.47,0.5311,0.0,0.0,0.25,0.4576,0.21,0.1243,0.0,0.2768,0.24,0.6836,0.0,1.0,0.26
user_476090__fear_09155_mp3__r005,user_476090,songs/fear/fear_09155.mp3,fear_09155.mp3,fear\fear_09155.mp3,5,fear,66,0.701,0.02,0.8557,0.15,0.0,0.44,0.0309,0.75,0.6907,0.35,0.268,0.57,1.0,0.4,0.8144,0.27
user_476090__fear_09164_mp3__r002,user_476090,songs/fear/fear_09164.mp3,fear_09164.mp3,fear\fear_09164.mp3,2,fear,47,0.8632,0.77,0.5128,0.33,0.0,0.16,0.359,0.52,0.5812,0.09,0.7009,0.55,1.0,0.33,0.7521,0.54
user_476090__sadness_03471_mp3__r013,user_476090,songs/sadness/sadness_03471.mp3,sadness_03471.mp3,sadness\sadness_03471.mp3,13,sadness,121,0.5888,0.0,0.514,0.31,1.0,0.15,0.2897,0.0,0.215,0.41,0.4112,0.65,0.0,0.57,0.1869,0.44
user_493263__amusement_02936_mp3__r001,user_493263,songs/amusement/amusement_02936.mp3,amusement_02936.mp3,amusement\amusement_02936.mp3,1,amusement,67,1.0,0.42,0.0,0.0,0.4106,0.0,0.9868,0.0,0.4371,0.0,0.3179,0.04,0.7152,0.12,0.702,0.11
user_493263__amusement_02945_mp3__r000,user_493263,songs/amusement/amusement_02945.mp3,amusement_02945.mp3,amusement\amusement_02945.mp3,0,amusement,198,1.0,0.39,0.2609,0.03,0.0966,0.0,0.5314,0.39,0.0,0.0,0.2222,0.13,0.4541,0.0,0.6667,0.33
user_493263__anger_02009_mp3__r013,user_493263,songs/anger/anger_02009.mp3,anger_02009.mp3,anger\anger_02009.mp3,13,anger,48,0.8624,0.43,1.0,0.0,0.7672,0.0,0.0,0.33,0.6085,0.0,0.836,0.0,0.6614,0.0,0.9206,0.36
user_493263__awe_09163_mp3__r009,user_493263,songs/awe/awe_09163.mp3,awe_09163.mp3,awe\awe_09163.mp3,9,awe,60,0.5441,0.54,0.3218,0.0,0.1762,0.0,0.7663,0.62,0.0,0.0,1.0,0.25,0.0077,0.0,0.4943,0.65
user_493263__awe_09166_mp3__r008,user_493263,songs/awe/awe_09166.mp3,awe_09166.mp3,awe\awe_09166.mp3,8,awe,64,0.4484,0.39,0.2596,0.0,0.1268,0.0,0.5959,0.38,0.0,0.0,1.0,0.37,0.1711,0.0,0.5369,0.07
user_493263__contentment_09996_mp3__r012,user_493263,songs/contentment/contentment_09996.mp3,contentment_09996.mp3,contentment\contentment_09996.mp3,12,contentment,51,0.2711,0.49,0.0,0.0,0.2,0.0,1.0,0.0,0.1644,0.0,0.3778,0.3,0.1956,0.0,0.4489,0.0
user_493263__disgust_08884_mp3__r003,user_493263,songs/disgust/disgust_08884.mp3,disgust_08884.mp3,disgust\disgust_08884.mp3,3,disgust,96,0.2149,0.16,0.6612,0.14,0.3802,0.0,0.5455,0.0,1.0,0.09,0.0,0.1,0.1901,0.0,0.3058,0.09
user_493263__excitement_07977_mp3__r014,user_493263,songs/excitement/excitement_07977.mp3,excitement_07977.mp3,excitement\excitement_07977.mp3,14,excitement,42,0.5029,0.06,0.0,0.0,0.2573,0.0,0.5965,0.07,0.2749,0.0,0.1287,0.31,0.1462,0.0,1.0,0.36
user_493263__excitement_16001_mp3__r011,user_493263,songs/excitement/excitement_16001.mp3,excitement_16001.mp3,excitement\excitement_16001.mp3,11,excitement,54,0.3939,0.3,0.0,0.15,0.0303,0.0,0.6104,0.0,0.2597,0.0,0.329,0.0,0.1385,0.34,1.0,0.29
user_493263__fear_09151_mp3__r015,user_493263,songs/fear/fear_09151.mp3,fear_09151.mp3,fear\fear_09151.mp3,15,fear,59,0.7005,0.16,0.5134,0.16,0.0,0.16,0.754,0.0,0.7861,0.0,0.3797,0.34,1.0,0.39,0.4545,0.31
user_493263__sadness_07973_mp3__r007,user_493263,songs/sadness/sadness_07973.mp3,sadness_07973.mp3,sadness\sadness_07973.mp3,7,sadness,72,0.8305,0.32,0.9068,0.0,1.0,0.0,0.0,0.32,0.0169,0.0,1.0,0.1,0.2542,0.0,0.3898,0.06
user_506002__amusement_08310_mp3__r003,user_506002,songs/amusement/amusement_08310.mp3,amusement_08310.mp3,amusement\amusement_08310.mp3,3,amusement,68,1.0,1.0,0.2955,0.0,0.4697,0.0,0.7576,0.55,0.4394,0.0,0.0,0.47,0.5076,0.0,0.8636,1.0
user_506002__amusement_17660_mp3__r005,user_506002,songs/amusement/amusement_17660.mp3,amusement_17660.mp3,amusement\amusement_17660.mp3,5,amusement,45,1.0,0.0,0.4242,1.0,0.1818,0.0,0.1732,0.0,0.0,1.0,0.2684,0.0,0.684,1.0,0.7835,0.0
user_506002__anger_02004_mp3__r002,user_506002,songs/anger/anger_02004.mp3,anger_02004.mp3,anger\anger_02004.mp3,2,anger,134,0.4455,0.31,1.0,0.0,0.0,0.0,0.2772,0.15,0.4059,0.0,0.0594,0.18,0.7228,0.13,0.4059,0.69
user_506002__anger_04345_mp3__r013,user_506002,songs/anger/anger_04345.mp3,anger_04345.mp3,anger\anger_04345.mp3,13,anger,65,0.4962,0.65,1.0,0.0,0.7328,0.0,0.0,0.35,1.0,0.0,0.6794,0.16,0.2901,0.0,0.1298,0.0
user_506002__awe_09141_mp3__r014,user_506002,songs/awe/awe_09141.mp3,awe_09141.mp3,awe\awe_09141.mp3,14,awe,39,0.5,1.0,0.2677,0.0,0.2424,0.0,0.8838,0.54,0.0,0.0,1.0,1.0,0.1566,0.0,0.3737,0.77
